GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Text,org.apache.commons.text.diff,StringsComparator.Snake,0,21,0,0,0,8,0,4,0,4
Apache Commons Text,org.apache.commons.text.diff,EditScript,0,72,0,2,0,20,0,8,0,7
Apache Commons Text,org.apache.commons.text.diff,InsertCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,EditCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,ReplacementsFinder,0,65,0,4,0,17,0,6,0,4
Apache Commons Text,org.apache.commons.text.diff,StringsComparator,5,541,3,79,1,76,3,43,0,5
Apache Commons Text,org.apache.commons.text.diff,KeepCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,DeleteCommand,0,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text,StrLookup.SystemPropertiesStrLookup,3,11,0,2,2,4,0,3,0,2
Apache Commons Text,org.apache.commons.text,WordUtils,52,722,12,110,13,181,8,71,2,16
Apache Commons Text,org.apache.commons.text,StringEscapeUtils.Builder,0,32,0,0,0,9,0,4,0,4
Apache Commons Text,org.apache.commons.text,StringEscapeUtils.XsiUnescaper,5,54,1,7,1,15,1,5,0,2
Apache Commons Text,org.apache.commons.text,StrMatcher,0,139,0,16,0,35,0,24,0,16
Apache Commons Text,org.apache.commons.text,StrLookup,0,29,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text,StrMatcher.TrimMatcher,0,12,0,2,0,3,0,3,0,2
Apache Commons Text,org.apache.commons.text,AlphabetConverter,11,695,3,71,2,147,3,48,0,14
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderWriter,0,43,0,0,0,15,0,8,0,8
Apache Commons Text,org.apache.commons.text,FormattableUtils,0,128,0,18,0,21,0,15,0,6
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderTokenizer,8,27,2,2,2,9,2,3,0,3
Apache Commons Text,org.apache.commons.text,ExtendedMessageFormat,30,742,9,98,4,184,9,69,0,22
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderReader,0,148,1,23,0,30,1,20,0,9
Apache Commons Text,org.apache.commons.text,StringEscapeUtils,0,867,0,0,0,132,0,20,0,20
Apache Commons Text,org.apache.commons.text,StrMatcher.StringMatcher,14,40,0,6,1,10,1,5,1,2
Apache Commons Text,org.apache.commons.text,StrBuilder,29,3542,8,524,6,755,9,406,1,148
Apache Commons Text,org.apache.commons.text,StrLookup.MapStrLookup,15,23,0,4,1,9,1,4,1,2
Apache Commons Text,org.apache.commons.text,StrLookup.ResourceBundleLookup,15,23,0,6,1,6,1,5,1,2
Apache Commons Text,org.apache.commons.text,RandomStringGenerator.Builder,2,208,3,19,0,35,3,15,0,7
Apache Commons Text,org.apache.commons.text,StrSubstitutor,3,1049,0,110,1,272,0,113,0,58
Apache Commons Text,org.apache.commons.text,StrMatcher.CharSetMatcher,0,22,0,2,0,5,0,3,0,2
Apache Commons Text,org.apache.commons.text,RandomStringGenerator,10,178,2,26,1,40,2,17,0,5
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text,StrTokenizer,1,971,2,94,1,251,2,111,0,65
Apache Commons Text,org.apache.commons.text,CaseUtils,0,138,0,24,0,38,0,15,0,3
Apache Commons Text,org.apache.commons.text,StrMatcher.CharMatcher,0,16,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text,StrMatcher.NoMatcher,0,5,0,0,0,3,0,2,0,2
Apache Commons Text,org.apache.commons.text,CompositeFormat,0,34,0,0,0,9,0,6,0,6
Apache Commons Text,org.apache.commons.text,CharacterPredicates,9,79,0,0,0,8,2,2,2,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,22,0,6,0,3,0,5,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},0,18,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text.similarity,Counter,3,46,0,4,2,8,1,3,1,1
Apache Commons Text,org.apache.commons.text.similarity,JaccardDistance,0,33,0,4,0,5,0,4,0,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinResults,0,121,2,12,0,20,2,13,0,8
Apache Commons Text,org.apache.commons.text.similarity,SimilarityScoreFrom,6,25,0,2,2,6,2,3,2,2
Apache Commons Text,org.apache.commons.text.similarity,FuzzyScore,0,86,0,16,0,26,0,11,0,3
Apache Commons Text,org.apache.commons.text.similarity,LongestCommonSubsequence,0,216,0,24,0,33,0,17,0,5
Apache Commons Text,org.apache.commons.text.similarity,JaccardSimilarity,0,107,0,16,0,20,0,11,0,3
Apache Commons Text,org.apache.commons.text.similarity,RegexTokenizer,0,37,0,2,0,8,0,3,0,2
Apache Commons Text,org.apache.commons.text.similarity,LongestCommonSubsequenceDistance,0,33,0,4,0,5,0,4,0,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinDetailedDistance,5,730,9,107,1,147,9,58,0,9
Apache Commons Text,org.apache.commons.text.similarity,JaroWinklerDistance,0,276,0,34,0,48,0,20,0,3
Apache Commons Text,org.apache.commons.text.similarity,HammingDistance,5,38,1,9,1,9,1,6,0,2
Apache Commons Text,org.apache.commons.text.similarity,CosineDistance,0,43,0,0,0,9,0,2,0,2
Apache Commons Text,org.apache.commons.text.similarity,CosineSimilarity,0,133,0,14,0,25,0,11,0,4
Apache Commons Text,org.apache.commons.text.similarity,EditDistanceFrom,6,25,0,2,2,6,2,3,2,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinDistance,8,360,3,53,2,80,4,32,1,7
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper.OPTION,5,43,0,0,0,1,1,3,1,3
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvEscaper,0,27,0,2,0,8,0,3,0,2
Apache Commons Text,org.apache.commons.text.translate,NumericEntityEscaper,0,64,0,2,0,16,0,8,0,7
Apache Commons Text,org.apache.commons.text.translate,AggregateTranslator,0,57,0,10,0,13,0,7,0,2
Apache Commons Text,org.apache.commons.text.translate,JavaUnicodeEscaper,0,50,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators,3,32,0,0,1,3,1,1,1,1
Apache Commons Text,org.apache.commons.text.translate,CharSequenceTranslator,28,165,2,16,6,29,3,12,1,5
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper,0,207,1,49,0,41,1,27,0,3
Apache Commons Text,org.apache.commons.text.translate,UnicodeEscaper,0,121,0,12,0,25,0,14,0,8
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvUnescaper,0,46,0,6,0,9,0,5,0,2
Apache Commons Text,org.apache.commons.text.translate,OctalUnescaper,1,115,4,20,0,17,4,12,0,4
Apache Commons Text,org.apache.commons.text.translate,EntityArrays,0,1374,0,2,0,280,0,4,0,3
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnescaper,0,119,2,14,0,18,2,8,0,2
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
Apache Commons Text,org.apache.commons.text.translate,SinglePassTranslator,2,38,1,3,0,7,1,4,0,3
Apache Commons Text,org.apache.commons.text.translate,LookupTranslator,0,133,0,16,0,30,0,10,0,2
Apache Commons Text,org.apache.commons.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
